報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年18週(05月01日～05月07日),2023年05月11日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
沖縄県,10,1.25,1,0.11,2,0.22,0,0,1,0.11,0,0,2,0.22,0,0,1,0.11,0,0,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2701,3.9,150,0.22,169,0.24,145,0.21,131,0.19,144,0.21,125,0.18,156,0.22,122,0.18,129,0.19,143,0.21,143,0.21,108,0.16,156,0.22,191,0.27,168,0.24,193,0.28,170,0.25,158,0.23
北海道,54,1.86,1,0.03,1,0.03,2,0.07,4,0.14,7,0.24,3,0.1,5,0.17,1,0.03,3,0.1,4,0.14,5,0.17,4,0.14,3,0.1,0,0,8,0.28,1,0.03,1,0.03,1,0.03
青森県,6,0.67,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0
岩手県,33,2.54,2,0.15,4,0.31,4,0.31,0,0,4,0.29,2,0.14,1,0.07,2,0.14,2,0.14,4,0.29,0,0,0,0,0,0,4,0.29,1,0.07,2,0.14,0,0,1,0.07
宮城県,51,4.25,3,0.25,4,0.33,1,0.08,0,0,2,0.17,3,0.25,1,0.08,2,0.17,2,0.17,4,0.33,4,0.33,1,0.08,0,0,4,0.33,5,0.42,11,0.92,1,0.08,3,0.25
秋田県,13,2.17,0,0,1,0.14,1,0.14,0,0,0,0,1,0.14,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,1,0.14,2,0.29,1,0.14,1,0.14,0,0,1,0.17
山形県,12,1.5,1,0.13,1,0.13,1,0.13,0,0,2,0.25,1,0.13,0,0,1,0.13,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,2,0.25,0,0,1,0.13
福島県,69,5.31,3,0.23,2,0.15,1,0.08,2,0.15,4,0.31,6,0.46,4,0.31,2,0.15,7,0.54,6,0.46,11,0.85,3,0.23,6,0.46,4,0.31,1,0.08,1,0.08,3,0.23,3,0.23
茨城県,177,10.41,17,1,12,0.71,13,0.76,10,0.59,9,0.53,8,0.47,10,0.59,6,0.35,8,0.47,9,0.53,4,0.24,4,0.24,7,0.41,21,1.24,12,0.71,10,0.59,9,0.53,8,0.47
栃木県,43,3.58,2,0.17,2,0.17,1,0.08,1,0.08,3,0.25,7,0.58,8,0.67,2,0.17,2,0.17,1,0.08,2,0.17,1,0.08,2,0.17,2,0.17,1,0.08,3,0.25,1,0.08,2,0.17
群馬県,77,5.5,5,0.36,3,0.21,4,0.29,0,0,2,0.14,3,0.21,1,0.07,0,0,1,0.07,5,0.36,7,0.5,1,0.07,10,0.71,8,0.57,12,0.86,6,0.43,5,0.36,4,0.29
埼玉県,132,3.3,7,0.18,6,0.15,8,0.2,11,0.27,7,0.17,5,0.13,8,0.2,12,0.29,6,0.15,7,0.17,7,0.17,11,0.27,11,0.28,4,0.1,6,0.15,7,0.17,4,0.1,5,0.12
千葉県,144,4.24,8,0.24,3,0.09,11,0.33,5,0.15,10,0.29,6,0.18,8,0.24,5,0.14,11,0.31,7,0.21,6,0.17,2,0.06,7,0.21,8,0.23,10,0.29,16,0.46,12,0.35,9,0.26
東京都,76,2,2,0.05,6,0.16,2,0.05,2,0.05,5,0.13,1,0.03,2,0.05,3,0.08,3,0.08,3,0.08,6,0.16,6,0.16,7,0.18,4,0.11,5,0.13,8,0.21,6,0.16,5,0.13
神奈川県,405,8.1,21,0.44,27,0.53,22,0.43,16,0.31,15,0.29,20,0.39,16,0.31,19,0.37,19,0.37,14,0.28,18,0.36,23,0.46,24,0.46,28,0.56,31,0.6,33,0.66,30,0.59,29,0.58
新潟県,24,2.4,4,0.4,0,0,3,0.3,0,0,0,0,0,0,0,0,1,0.1,0,0,2,0.2,1,0.1,0,0,4,0.4,3,0.3,0,0,2,0.2,1,0.1,3,0.3
富山県,9,1.29,1,0.14,2,0.29,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
石川県,43,6.14,1,0.14,4,0.57,3,0.43,5,0.71,5,0.71,4,0.57,0,0,4,0.57,2,0.29,3,0.43,0,0,2,0.29,2,0.29,1,0.14,2,0.29,2,0.29,1,0.14,2,0.29
福井県,3,1,0,0,0,0,0,0,0,0,1,0.33,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0
山梨県,40,4.44,4,0.44,4,0.44,1,0.11,7,0.78,3,0.33,2,0.22,4,0.44,0,0,2,0.22,1,0.11,0,0,3,0.33,0,0,2,0.22,4,0.44,1,0.11,0,0,2,0.22
長野県,72,7.2,10,0.83,2,0.2,0,0,1,0.1,2,0.2,3,0.3,8,0.8,4,0.4,2,0.2,4,0.4,1,0.1,3,0.3,4,0.36,5,0.5,0,0,2,0.2,8,0.8,13,1.44
岐阜県,30,2.73,0,0,0,0,3,0.27,0,0,1,0.09,1,0.09,4,0.36,1,0.09,0,0,7,0.64,5,0.45,1,0.09,2,0.18,2,0.18,0,0,0,0,3,0.27,0,0
静岡県,39,1.77,3,0.14,4,0.18,1,0.05,0,0,2,0.09,1,0.05,5,0.23,4,0.18,3,0.14,3,0.14,0,0,1,0.05,4,0.17,2,0.09,1,0.05,0,0,5,0.23,0,0
愛知県,44,1.26,4,0.11,0,0,3,0.09,2,0.06,2,0.06,2,0.06,4,0.11,5,0.14,4,0.11,0,0,2,0.06,3,0.09,3,0.09,1,0.03,4,0.11,2,0.06,3,0.09,0,0
三重県,7,0.58,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,1,0.08,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.08,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,36,2.12,2,0.11,4,0.22,1,0.06,1,0.06,2,0.11,1,0.06,0,0,0,0,0,0,0,0,2,0.11,0,0,4,0.22,1,0.06,8,0.47,4,0.22,4,0.25,2,0.11
大阪府,137,2.69,5,0.1,5,0.1,7,0.13,5,0.1,10,0.19,10,0.19,8,0.15,2,0.04,3,0.06,6,0.12,9,0.18,7,0.14,6,0.12,7,0.14,7,0.14,17,0.33,11,0.21,12,0.24
兵庫県,145,4.14,2,0.06,14,0.4,3,0.09,16,0.46,7,0.2,6,0.17,10,0.29,9,0.26,9,0.26,4,0.11,9,0.26,4,0.11,7,0.2,11,0.31,5,0.14,13,0.37,12,0.34,4,0.11
奈良県,55,5.5,2,0.2,2,0.2,3,0.3,4,0.4,5,0.5,0,0,1,0.1,3,0.3,5,0.5,4,0.4,1,0.1,1,0.1,3,0.3,7,0.7,5,0.5,4,0.4,4,0.4,1,0.1
和歌山県,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
鳥取県,3,0.6,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
島根県,7,2.33,1,0.33,0,0,0,0,0,0,0,0,0,0,4,1.33,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0
岡山県,41,3.42,4,0.33,1,0.08,2,0.17,3,0.25,2,0.17,0,0,4,0.33,2,0.17,2,0.17,6,0.5,4,0.33,2,0.17,0,0,2,0.17,1,0.08,1,0.08,3,0.25,2,0.17
広島県,111,5.84,2,0.11,10,0.53,6,0.32,5,0.26,9,0.47,3,0.16,4,0.21,6,0.32,6,0.32,3,0.16,10,0.53,4,0.21,7,0.37,8,0.42,3,0.16,8,0.42,9,0.47,8,0.42
山口県,41,4.56,7,0.78,6,0.67,5,0.56,1,0.11,2,0.22,0,0,3,0.33,0,0,1,0.11,1,0.11,5,0.56,2,0.22,2,0.22,2,0.22,1,0.11,0,0,1,0.11,2,0.22
徳島県,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,8,1.6,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,1,0.2,0,0,1,0.2,0,0,2,0.4,1,0.2
愛媛県,63,7.88,2,0.25,3,0.38,2,0.25,1,0.13,4,0.5,5,0.63,6,0.75,1,0.13,3,0.38,4,0.5,3,0.38,0,0,2,0.25,8,1,6,0.75,7,0.88,3,0.38,3,0.38
高知県,4,1.33,0,0,0,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0,1,0.33
福岡県,81,3.12,2,0.08,3,0.12,4,0.15,3,0.12,2,0.08,6,0.23,7,0.27,3,0.12,1,0.04,5,0.19,2,0.08,2,0.08,5,0.19,7,0.27,8,0.31,7,0.27,4,0.15,10,0.38
佐賀県,5,1.25,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,1,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0
長崎県,40,5,2,0.25,2,0.25,7,0.88,3,0.38,2,0.25,1,0.13,1,0.13,3,0.38,1,0.13,3,0.38,0,0,0,0,3,0.38,3,0.38,5,0.63,1,0.13,1,0.13,2,0.25
熊本県,57,6.33,2,0.22,4,0.44,5,0.56,5,0.56,2,0.22,5,0.56,4,0.44,1,0.11,1,0.11,1,0.11,1,0.11,2,0.22,3,0.33,5,0.56,4,0.44,6,0.67,4,0.4,2,0.2
大分県,31,6.2,3,0.6,2,0.4,3,0.6,5,1,0,0,2,0.4,0,0,2,0.4,1,0.2,1,0.2,4,0.8,1,0.2,0,0,2,0.4,1,0.2,0,0,0,0,4,0.8
宮崎県,83,13.83,3,0.5,5,0.83,2,0.33,1,0.17,4,0.67,1,0.17,7,1.17,3,0.5,7,1.17,7,1.17,4,0.67,6,1,10,1.67,7,1.17,1,0.17,5,0.83,5,0.83,5,0.83
鹿児島県,46,6.57,1,0.14,1,0.14,2,0.29,2,0.29,2,0.29,1,0.14,3,0.43,8,1.14,1,0.14,5,0.71,1,0.14,2,0.29,1,0.14,6,0.86,2,0.29,2,0.29,5,0.71,1,0.14
沖縄県,96,12,6,0.67,16,1.78,7,0.78,9,1,2,0.22,4,0.44,2,0.22,1,0.11,7,0.78,5,0.56,3,0.33,5,0.56,5,0.56,8,0.89,3,0.38,6,0.75,4,0.5,3,0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,128,0.27,5,0.01,3,0.01,9,0.02,9,0.02,4,0.01,7,0.01,10,0.02,8,0.02,13,0.03,11,0.02,5,0.01,6,0.01,6,0.01,7,0.01,7,0.01,2,0,5,0.01,11,0.02
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,3,0.5,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,1,0.17
岩手県,5,0.26,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,0,0,0,0,1,0.05,1,0.05
宮城県,2,0.18,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,3,0.3,1,0.1,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0
群馬県,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,0,0
埼玉県,4,0.36,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0
千葉県,3,0.33,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0
東京都,10,0.42,0,0,0,0,0,0,2,0.08,0,0,0,0,1,0.04,2,0.08,0,0,2,0.08,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.04
神奈川県,6,0.55,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,1,0.08,0,0,3,0.27,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0
新潟県,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
福井県,3,0.5,0,0,0,0,0,0,2,0.33,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,7,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,2,0.2,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0
愛知県,7,0.47,0,0,0,0,0,0,0,0,0,0,2,0.13,1,0.07,1,0.07,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0
三重県,4,0.44,0,0,0,0,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
京都府,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
大阪府,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.13
兵庫県,8,0.57,0,0,0,0,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0,2,0.14
奈良県,6,1,1,0.17,0,0,0,0,1,0.17,0,0,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0
和歌山県,2,0.18,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,5,0.63,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,1,0.13
岡山県,2,0.4,0,0,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,2,0.25,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0
福岡県,7,0.47,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,2,0.13,0,0,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,4,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17
長崎県,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0
熊本県,3,0.2,0,0,0,0,0,0,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,8,1.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,2,0.29,2,0.29,0,0,2,0.29,0,0,1,0.14,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,167,0.35,2,0,3,0.01,7,0.01,9,0.02,12,0.03,9,0.02,10,0.02,8,0.02,10,0.02,8,0.02,10,0.02,14,0.03,7,0.01,14,0.03,11,0.02,9,0.02,12,0.03,12,0.03
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,1,0.17,0,0,0,0,0,0
岩手県,3,0.16,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0
宮城県,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0
栃木県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,8,0.73,0,0,1,0.09,1,0.09,1,0.09,2,0.18,2,0.18,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,5,0.56,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
東京都,16,0.67,1,0.04,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,3,0.12,2,0.08,1,0.04,1,0.04,0,0,1,0.04,3,0.12,0,0,2,0.08,0,0
神奈川県,18,1.64,0,0,0,0,0,0,2,0.18,0,0,0,0,1,0.09,0,0,2,0.18,1,0.09,2,0.18,0,0,2,0.18,2,0.18,0,0,1,0.09,0,0,5,0.42
新潟県,4,0.33,0,0,0,0,1,0.08,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
福井県,3,0.5,0,0,0,0,0,0,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,5,0.42,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08,0,0,0,0,2,0.17,0,0
岐阜県,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1,0.2,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2
静岡県,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,3,0.3,0,0,0,0
愛知県,5,0.33,0,0,0,0,1,0.07,0,0,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0
三重県,9,1,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,2,0.22,1,0.11,0,0,0,0,3,0.33,0,0,0,0,1,0.11
滋賀県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0
京都府,2,0.29,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,6,0.4,0,0,0,0,1,0.06,0,0,0,0,1,0.06,0,0,2,0.13,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,1,0.06
兵庫県,8,0.57,0,0,1,0.07,0,0,0,0,1,0.07,0,0,0,0,2,0.14,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,1,0.07,1,0.07
奈良県,3,0.5,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,4,0.36,0,0,0,0,0,0,0,0,0,0,0,0,2,0.18,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0
島根県,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,1,0.13,0,0,0,0
岡山県,8,1.6,1,0.2,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,2,0.4
広島県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
山口県,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
